
#广西,#genre#
北海新闻,http://180.136.233.125:10099/udp/239.81.0.136:4056
南宁公共,http://180.136.233.125:10099/udp/239.81.0.129:4056
南宁影视,http://180.136.233.125:10099/udp/239.81.0.128:4056
南宁新闻,http://180.136.233.125:10099/udp/239.81.0.241:4056
南宁新闻,http://180.136.233.125:10099/udp/239.81.0.126:4056
南宁都市,http://180.136.233.125:10099/udp/239.81.0.127:4056
广西乐思购,http://180.136.233.125:10099/udp/239.81.0.9:4056
广西卫视,http://180.136.233.125:10099/udp/239.81.0.107:4056
广西卫视,http://180.136.233.125:10099/udp/239.81.0.2:4056
广西影视,http://180.136.233.125:10099/udp/239.81.0.250:4056
广西影视,http://180.136.233.125:10099/udp/239.81.0.7:4056
广西新闻,http://180.136.233.125:10099/udp/239.81.0.5:4056
广西新闻,http://180.136.233.125:10099/udp/239.81.0.248:4056
广西移动电视,http://180.136.233.125:10099/udp/239.81.0.10:4056
广西综艺,http://180.136.233.125:10099/udp/239.81.0.3:4056
广西综艺,http://180.136.233.125:10099/udp/239.81.0.214:4056
广西都市,http://180.136.233.125:10099/udp/239.81.0.247:4056
广西都市,http://180.136.233.125:10099/udp/239.81.0.4:4056
柳州新闻,http://180.136.233.125:10099/udp/239.81.0.134:4056
桂林新闻,http://180.136.233.125:10099/udp/239.81.0.135:4056
玉林新闻,http://180.136.233.125:10099/udp/239.81.0.138:4056
贺州新闻,http://180.136.233.125:10099/udp/239.81.0.137:4056
